BSC Name,,TCH Assignment Success Rate [BBH],TCH Blocking Rate [BBH],Drop Call Rate [BBH],SDCCH Drop Call Rate [BBH],Total Voice Traffic [BBH],RX Quality [BBH],HOSR[CBBH],SDCCH Blocking Rate [BBH]
,19-Jun-22,98.05,1.99,0.66,0.08,8047.4,97.76,97.11,0.07
,20-Jun-22,98.28,1.46,0.62,0.09,8110.58,97.84,97.42,0.09
,21-Jun-22,96.54,4.07,0.69,0.46,8659.16,97.6,97.5,3.04
,22-Jun-22,98.24,1.57,0.76,0.08,7720.58,97.56,97.25,0.04
BSC220SGR,18-Jun-22,99.09,0.81,0.5,0.02,9115.43,98.44,98.89,2.27
,19-Jun-22,99.07,0.04,0.51,0.02,8459.7,98.44,98.99,0.03
,20-Jun-22,99.14,0.02,0.5,0.02,8752.37,98.34,98.96,0.01
,21-Jun-22,99.14,0.13,0.43,0.02,8996.27,98.39,98.87,0.31
,22-Jun-22,99.07,0.01,0.44,0.02,9193.1,98.42,98.88,0.01
BSC221RIT,18-Jun-22,98.48,0.12,0.74,0.08,10792.97,97.62,97.3,0.02
,19-Jun-22,97.98,0.13,0.88,0.12,11352.16,97.43,96.44,0.02
,20-Jun-22,98.24,0.17,0.93,0.1,10980.01,97.4,96.93,0.02
,21-Jun-22,98,0.42,0.93,0.13,11688.63,97.46,96.2,0.08
,22-Jun-22,97.9,0.19,0.96,0.15,11534.76,97.35,96.1,0.04
BSC223MAL,18-Jun-22,99.15,0.16,0.41,0.02,6845.1,98.56,98.74,0.01
,19-Jun-22,98.93,0.29,0.46,0.02,6664.33,98.54,98.71,0.03
,20-Jun-22,99.04,0.25,0.46,0.03,6327.61,98.42,98.72,0.14
,21-Jun-22,98.97,0.22,0.51,0.03,6833.22,98.44,98.55,0.65
,22-Jun-22,99.02,0.2,0.43,0.01,6768.95,98.53,98.52,0.01
BSC224MDS,18-Jun-22,99.03,0,0.35,0.02,2776.55,98.69,98.81,0
,19-Jun-22,98.82,0.06,0.39,0.03,2684.01,98.67,98.68,0
,20-Jun-22,99.05,0.04,0.34,0.02,2754.96,98.56,99.02,0
,21-Jun-22,98.99,0.04,0.36,0.02,2826.34,98.53,98.69,0
,22-Jun-22,98.95,0.05,0.34,0.02,2776.15,98.63,99.17,0.01
BSC225IDR,18-Jun-22,98.76,0.19,0.38,0.05,6287.29,98.53,97.97,0.07
,19-Jun-22,98.91,0.02,0.41,0.03,5465.92,98.59,98.35,0.02
,20-Jun-22,98.93,0.1,0.41,0.04,6542.27,98.49,98.17,0.02
,21-Jun-22,98.95,0.16,0.41,0.03,6555.72,98.51,98.02,0.08
,22-Jun-22,98.9,0.17,0.45,0.03,6573.44,98.48,97.82,0.02
BSC226IDR,18-Jun-22,98.92,0.03,0.55,0.05,6933.43,98.57,98.2,0.28
,19-Jun-22,98.68,2.4,0.54,0.05,6701.21,98.57,98.3,0.04
,20-Jun-22,98.82,0.03,0.56,0.05,7316.11,98.51,98.07,0
,21-Jun-22,98.81,0.02,0.52,0.04,7262.78,98.57,98.19,0.19
,22-Jun-22,98.71,0.1,0.58,0.04,7234.13,98.53,98.06,0.08
BSC229GWL,18-Jun-22,98.91,0.41,0.55,0.04,13982.94,98.3,98.03,0.04
,19-Jun-22,98.85,0.86,0.56,0.05,13753.15,98.29,98.16,0.03
,20-Jun-22,98.89,0.94,0.61,0.05,13608.86,98.2,97.9,0.21
,21-Jun-22,98.84,0.73,0.58,0.05,14762.17,98.2,97.75,0.02
,22-Jun-22,98.76,0.97,0.57,0.04,14689.48,98.23,97.77,0.06
BSC230BPL,18-Jun-22,98.83,0.03,0.64,0.03,8509.36,98.49,98.07,0.05
,19-Jun-22,98.89,0.06,0.57,0.03,8044.56,98.54,98.26,1.02
,20-Jun-22,98.8,0.08,0.64,0.04,8793.1,98.48,98.01,0.45
,21-Jun-22,98.83,0.04,0.66,0.04,8560.66,98.42,97.89,0.03
,22-Jun-22,98.72,0.15,0.65,0.04,8591.81,98.46,98.03,0.16
BSC231BPL,18-Jun-22,98.67,1.21,0.63,0.04,8333.26,98.47,97.49,0.19
,19-Jun-22,98.84,0.02,0.58,0.03,7666.19,98.51,98.33,0
,20-Jun-22,98.82,0.1,0.69,0.02,7997.59,98.38,97.85,0.12
,21-Jun-22,98.91,0.03,0.65,0.03,8008.83,98.39,97.89,0.02
,22-Jun-22,98.85,0.05,0.64,0.02,8180.86,98.42,97.94,0.04
BSC232RPR,18-Jun-22,98.95,0.36,0.68,0.05,9826.51,98.27,97.29,0.33
,19-Jun-22,98.94,0.13,0.7,0.04,9353.25,98.27,97.28,0.27
,20-Jun-22,98.96,0.2,0.71,0.05,9620.51,98.23,96.98,0.01
,21-Jun-22,98.97,0.16,0.67,0.05,9790.1,98.26,96.8,0.04
,22-Jun-22,98.88,0.07,0.64,0.05,9763.18,98.25,96.82,0
BSC233JBL,18-Jun-22,99.03,0.02,0.43,0.03,9876.52,98.5,98.46,0.25
,19-Jun-22,98.94,0.04,0.48,0.03,9219.6,98.43,98.33,0.13
,20-Jun-22,99,0.01,0.41,0.03,9578.99,98.39,98.4,0.23
,21-Jun-22,99.06,0.03,0.46,0.03,9624.31,98.4,98.42,0.13
,22-Jun-22,98.95,0.02,0.42,0.03,9802.14,98.42,98.33,0.1
BSC234STN,18-Jun-22,97.85,0.23,0.93,0,43.99,97.22,96.54,0
,19-Jun-22,98.47,0,1.07,0,37.34,97.94,97.17,0
,20-Jun-22,98.72,0.85,0.11,0,39.89,97.67,97.63,0
,21-Jun-22,97.26,0,0.35,0.16,39.01,97.84,96.81,0
,22-Jun-22,98.6,0.1,1.11,0.04,41.2,97.81,94.67,0
BSC235CHP,18-Jun-22,99,0.21,0.51,0.03,11055,98.29,98.87,0
,19-Jun-22,98.88,0.12,0.58,0.04,9956.21,98.15,98.89,0.01
,20-Jun-22,98.91,0.07,0.59,0.04,9999.83,98.04,98.74,0.08
,21-Jun-22,98.88,0.21,0.58,0.05,10266.78,98,98.36,0.01
,22-Jun-22,98.83,0.74,0.57,0.04,10581.25,98.16,98.47,0.01
BSC237RPR,18-Jun-22,99.03,0.03,0.56,0.04,8160.42,98.42,97.82,0.07
,19-Jun-22,98.98,0.02,0.56,0.04,7819.8,98.44,98.15,0
,20-Jun-22,98.95,0.02,0.57,0.05,8294.09,98.37,97.53,0
,21-Jun-22,98.99,0.02,0.61,0.05,8346.72,98.34,97.43,0
,22-Jun-22,99.02,0.03,0.55,0.04,8231.8,98.39,97.64,0.01
BSC245JBL,18-Jun-22,98.88,0.09,0.92,0.02,11955.48,98.35,98.03,0.22
,19-Jun-22,98.77,0.36,0.84,0.02,11599.41,98.39,98.18,0.38
,20-Jun-22,98.78,0.29,0.94,0.03,11697.18,98.25,98.06,0.16
,21-Jun-22,98.82,0.16,0.92,0.03,12053.2,98.29,97.91,0.02
,22-Jun-22,98.68,0.13,0.92,0.03,12148.76,98.28,97.69,0.02
BSC246SDL,18-Jun-22,99.14,0.19,0.58,0.03,6864.86,98.55,98.95,0.01
,19-Jun-22,99.02,0.37,0.57,0.04,7507.14,98.52,98.78,0.01
,20-Jun-22,99.17,0.34,0.59,0.03,7092.38,98.48,98.84,0.01
,21-Jun-22,99.05,0.42,0.59,0.04,7814.31,98.51,98.69,0
,22-Jun-22,99.01,0.49,0.59,0.03,7767.62,98.52,98.71,0.01
